"Day","Items","Note","Amount"
"84","Rental Expense","Cash Payment - RentalSan Francisco","(2240)"
"84","Rental Expense","Cash Payment - RentalMiami","(1200)"
"83","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(300)"
"83","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(300)"
"83","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(200)"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(100)"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(100)"
"83","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(100)"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(200)"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(200)"
"83","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(200)"
"83","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(100)"
"83","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(100)"
"83","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(100)"
"83","Salary Expense","Cash Payment - Salary Expense","(26643)"
"83","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14644","(300)"
"83","Sales E Commerce","Revenue - E-Commerce Sales","15941"
"83","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14826","(200)"
"83","Sales E Commerce","Revenue - E-Commerce Sales","10942"
"83","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14846","(200)"
"83","Sales E Commerce","Revenue - E-Commerce Sales","11534"
"83","Retail","Revenue - Retail Sales New York - Mouthwash","6076"
"83","Retail","Revenue - Retail Sales New York - Body Wash","6489"
"83","Retail","Revenue - Retail Sales New York - Shampoo","20412"
"83","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","448"
"83","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","992"
"83","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","1701"
"83","Retail","Revenue - Retail Sales Chicago - Mouthwash","1054"
"83","Retail","Revenue - Retail Sales Chicago - Body Wash","1575"
"83","Retail","Revenue - Retail Sales Chicago - Shampoo","2535"
"83","Retail","Revenue - Retail Sales San Francisco - Mouthwash","192"
"83","Retail","Revenue - Retail Sales San Francisco - Body Wash","372"
"83","Retail","Revenue - Retail Sales San Francisco - Shampoo","819"
"83","Rental Expense","Cash Payment - RentalNew York","(8040)"
"83","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","(798)"
"83","Rental Expense","Cash Payment - RentalDetroit","(1200)"
"83","Rental Expense","Cash Payment - RentalWashington, D.C.","(2440)"
"83","Rental Expense","Cash Payment - RentalChicago","(1480)"
"83","Rental Expense","Cash Payment - RentalSan Francisco","(2240)"
"83","Rental Expense","Cash Payment - RentalMiami","(1200)"
"82","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(300)"
"82","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(300)"
"82","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(200)"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(100)"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(100)"
"82","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(100)"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(200)"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(200)"
"82","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(200)"
"82","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(100)"
"82","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(100)"
"82","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(100)"
"82","Salary Expense","Cash Payment - Salary Expense","(26643)"
"82","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14442","(100)"
"82","Sales E Commerce","Revenue - E-Commerce Sales","6790"
"82","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 14420","(300)"
"82","Sales E Commerce","Revenue - E-Commerce Sales","13608"
"82","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13405","(100)"
"82","Sales E Commerce","Revenue - E-Commerce Sales","7106"
"82","Shipping Expense","Cash Payment - Shipping Expense - Web Sales Order: 13203","(100)"
"82","Sales E Commerce","Revenue - E-Commerce Sales","5220"
"82","Retail","Revenue - Retail Sales New York - Mouthwash","20212"
"82","Retail","Revenue - Retail Sales New York - Body Wash","25389"
"82","Retail","Revenue - Retail Sales New York - Shampoo","63693"
"82","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","1920"
"82","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","4092"
"82","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","5418"
"82","Retail","Revenue - Retail Sales Chicago - Mouthwash","4030"
"82","Retail","Revenue - Retail Sales Chicago - Body Wash","6741"
"82","Retail","Revenue - Retail Sales Chicago - Shampoo","8710"
"82","Retail","Revenue - Retail Sales San Francisco - Mouthwash","704"
"82","Retail","Revenue - Retail Sales San Francisco - Body Wash","1488"
"82","Retail","Revenue - Retail Sales San Francisco - Shampoo","2709"
"82","Rental Expense","Cash Payment - RentalNew York","(8040)"
"82","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","(810)"
"82","Rental Expense","Cash Payment - RentalDetroit","(1200)"
"82","Rental Expense","Cash Payment - RentalWashington, D.C.","(2440)"
"82","Rental Expense","Cash Payment - RentalChicago","(1480)"
"82","Rental Expense","Cash Payment - RentalSan Francisco","(2240)"
"82","Rental Expense","Cash Payment - RentalMiami","(1200)"
"81","Marketing Expense","Cash Payment - Marketing - New York - Mouthwash","(300)"
"81","Marketing Expense","Cash Payment - Marketing - New York - Body Wash","(300)"
"81","Marketing Expense","Cash Payment - Marketing - New York - Shampoo","(200)"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Mouthwash","(100)"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Body Wash","(100)"
"81","Marketing Expense","Cash Payment - Marketing - Washington, D.C. - Shampoo","(100)"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Mouthwash","(200)"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Body Wash","(200)"
"81","Marketing Expense","Cash Payment - Marketing - Chicago - Shampoo","(200)"
"81","Marketing Expense","Cash Payment - Marketing - San Francisco - Mouthwash","(100)"
"81","Marketing Expense","Cash Payment - Marketing - San Francisco - Body Wash","(100)"
"81","Marketing Expense","Cash Payment - Marketing - San Francisco - Shampoo","(100)"
"81","Salary Expense","Cash Payment - Salary Expense","(26643)"
"81","Retail","Revenue - Retail Sales New York - Mouthwash","24428"
"81","Retail","Revenue - Retail Sales New York - Body Wash","27909"
"81","Retail","Revenue - Retail Sales New York - Shampoo","69363"
"81","Retail","Revenue - Retail Sales Washington, D.C. - Mouthwash","1792"
"81","Retail","Revenue - Retail Sales Washington, D.C. - Body Wash","3968"
"81","Retail","Revenue - Retail Sales Washington, D.C. - Shampoo","5733"
"81","Retail","Revenue - Retail Sales Chicago - Mouthwash","4960"
"81","Retail","Revenue - Retail Sales Chicago - Body Wash","7308"
"81","Retail","Revenue - Retail Sales Chicago - Shampoo","8970"
"81","Retail","Revenue - Retail Sales San Francisco - Mouthwash","704"
"81","Retail","Revenue - Retail Sales San Francisco - Body Wash","1674"
"81","Retail","Revenue - Retail Sales San Francisco - Shampoo","2709"
"81","Services","Revenue - Service Sales Order ID: 13986","259900"
"81","Rental Expense","Cash Payment - RentalNew York","(8040)"
"81","Overflow Expense - Warehouse","Cash Payment - Overflow FeeDetroit","(822)"
"81","Rental Expense","Cash Payment - RentalDetroit","(1200)"
"81","Rental Expense","Cash Payment - RentalWashington, D.C.","(2440)"
"81","Rental Expense","Cash Payment - RentalChicago","(1480)"
"81","Rental Expense","Cash Payment - RentalSan Francisco","(2240)"
